File_Name,Seed,InitOF,FinalOF,DiffOF,Time,Iterations_Diff
c101_21_50.txt,123,54706.60508055182,54706.60508055182,0.0,2.411318302154541,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,82326.83489075062,79309.99109477359,3016.8437959770235,11.317352294921875,"[1225.487666288187, 0.0, 0.0, 1791.3561296888365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,84367.30876435956,74970.19321914714,9397.115545212422,8.608603477478027,"[0.0, 0.0, 0.0, 4789.516383943119, 0.0, 4607.599161269303, 0.0, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,84486.22973724676,76133.10397457148,8353.125762675278,8.903485536575317,"[0.0, 0.0, 0.0, 3660.4750375023286, 0.0, 0.0, 4692.650725172949, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,81277.55852246293,77279.74025322292,3997.818269240015,9.05173659324646,"[2138.1528311588772, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1859.6654380811378, 0.0, 0.0]"
c102_21_100.txt,123,83941.74240707971,80849.93430472142,3091.8081023582927,8.909234046936035,"[0.0, 0.0, 0.0, 0.0, 0.0, 2113.4850239743973, 978.3230783838953, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,84478.48843043766,78966.03317855031,5512.455251887353,8.605687379837036,"[0.0, 0.0, 4277.860973141913, 0.0, 0.0, 1234.5942787454405, 0.0, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,84494.85505623504,77420.47606073323,7074.378995501815,8.439587593078613,"[0.0, 0.0, 0.0, 0.0, 0.0, 7074.378995501815, 0.0, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,83168.42804021048,79475.00429259188,3693.4237476185954,10.29292893409729,"[0.0, 0.0, 1918.1922783817572, 1775.2314692368382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,84821.5622971667,75299.49629272596,9522.066004440741,12.911238431930542,"[0.0, 4825.841849257573, 0.0, 0.0, 0.0, 4695.912433405392, 0.3117217777762562, 0.0, 0.0, 0.0]"
c102_21_100.txt,123,82066.54370632645,77302.12053918254,4764.423167143919,8.277281284332275,"[0.0, 0.0, 0.0, 4764.423167143919, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_25.txt,123,26813.79045577024,16374.56584248347,10439.22461328677,0.8496291637420654,"[4391.312146668435, 0.0, 3256.9108088778485, 1576.4076421938335, 0.051135086578142364, 0.0, 1213.1978340288788, 1.345046431195442, 0.0, 0.0]"
c102_21_25.txt,123,27273.90948067238,20007.858477765738,7266.051002906643,0.8546233177185059,"[0.0, 0.0, 0.0, 0.0, 0.0, 4747.018497624602, 0.0, 0.0, 2519.032505282041, 0.0]"
c102_21_25.txt,123,27327.067595008964,19361.249649651694,7965.81794535727,0.9184138774871826,"[0.0, 6133.3797627974345, 1379.935305550447, 445.33999213048446, 0.0, 6.151228734619508, 1.0116561442846432, 0.0, 0.0, 0.0]"
c102_21_25.txt,123,26201.57889981231,17428.1654467544,8773.41345305791,0.8391523361206055,"[5911.0122738786085, 1116.788841484944, 0.0, 5.244627066047542, 0.0, 0.0, 0.0, 1740.3677106283103, 0.0, 0.0]"
c102_21_25.txt,123,25918.268999614884,17374.25199446533,8544.017005149555,0.8682072162628174,"[6943.322802957555, 0.0, -4.7994730025639, -1.7039468847251555, 0.0, 1607.1976220792894, 0.0, -5.211102550925716, 0.0, 0.0]"
c102_21_25.txt,123,27545.45200500343,17951.046165691274,9594.405839312156,0.9116694927215576,"[6031.180047064354, 1363.6398912954246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2199.5859009523774, 0.0]"
c102_21_25.txt,123,27218.10851011114,19031.630727377487,8186.477782733651,2.84433913230896,"[0.0, 4270.270204620541, 0.0, 3916.20757811311, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_25.txt,123,28823.54772453789,18170.211927492433,10653.335797045456,0.8801405429840088,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3550.380720190926, 4604.7158166607005, 2494.960771995011, 3.2784881988191046]"
c102_21_25.txt,123,25984.35130705739,17403.744376071565,8580.606930985825,0.9136757850646973,"[2487.983532773691, 0.0, 3049.5721098130743, 1443.1318108826745, 0.0, 0.0, 1599.919477516385, 0.0, 0.0, 0.0]"
c102_21_25.txt,123,27354.302810488007,17951.965740286138,9402.33707020187,0.8607285022735596,"[0.0, 0.0, 0.0, 0.0, 0.0, 4826.198035466659, 2333.592228782585, 2237.330558717924, 5.216247234700859, 0.0]"
c102_21_50.txt,123,47409.27535001688,47409.27535001688,0.0,2.3150105476379395,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_50.txt,123,48245.6812383236,48245.6812383236,0.0,2.2877120971679688,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_50.txt,123,48381.14283571878,48381.14283571878,0.0,2.3279976844787598,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
c102_21_50.txt,123,46269.15724907012,46269.15724907012,0.0,2.285858392715454,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
