File_Name,Seed,InitOF,FinalOF,DiffOF,Time,Iterations_Diff
c102_21_25.txt,123,25169.001432590783,18049.98598096079,7119.015451629992,0.9426798820495605,"[4337.204204987822, 1558.1811063855348, 9.007763667526888, 1.4245425602312025, 0.0, 0.0, 0.0, 0.0, 1213.197834028877, 0.0]"
c102_21_25.txt,123,26830.675276472284,17578.339773959662,9252.335502512622,0.9812788963317871,"[4032.1967179639323, 0.0, 0.0, 3289.276165021507, 0.0, 0.0, 1926.088821936486, -0.4424496440005896, 5.216247234697221, 0.0]"
c102_21_25.txt,123,25972.133640388947,18892.706762179027,7079.426878209921,1.0807082653045654,"[0.0, 4556.088289743049, 0.0, 0.0, 2523.3385884668714, 0.0, -3.1821143238485092, 0.0, 0.0, 0.0]"
c102_21_25.txt,123,27101.55502891032,16615.488242788113,10486.066786122206,0.9197578430175781,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6065.16804591188, 4420.898740210327, 0.0, 0.0]"
c102_21_25.txt,123,27804.287188131817,18276.25629392571,9528.030894206106,0.9189591407775879,"[0.0, 0.0, 0.0, 5447.779319603043, 0.0, 4070.514415419231, 2.6754750783547934, 0.0, 7.061684105476161, 0.0]"
c102_21_25.txt,123,28566.944426175825,18093.076067223203,10473.868358952623,0.9972069263458252,"[5403.69798538907, 0.0, 3881.5087543931622, -23.501305383764702, 0.0, 1212.1629245541553, 0.0, 0.0, 0.0, 0.0]"
c102_21_25.txt,123,27144.953128179055,14182.303726445352,12962.649401733703,0.8592734336853027,"[4762.855868516992, 4506.614098483104, 1238.1791587184416, 0.0, 2453.65522958397, 0.0, 1.345046431195442, 0.0, 0.0, 0.0]"
c102_21_25.txt,123,28758.400877240878,18142.16903398075,10616.231843260128,1.0123353004455566,"[3608.53695486825, 0.0, 2667.0539004217353, 2730.645186741971, 0.0, 1241.5563438729478, 357.85344885235827, 10.586008502865297, 0.0, 0.0]"
c102_21_25.txt,123,25917.22035365471,18920.265863288627,6996.954490366083,0.9740500450134277,"[6996.954490366083, -227.92115508771894, 3.355969040927448, 0.0, 0.0, 5.216247234697221, -4.7994730025639, 0.0, 0.0, 0.0]"
c102_21_50.txt,123,46512.531385671246,46512.531385671246,0.0,2.4825172424316406,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
